PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=515 ttl=64 time=8.68 ms
64 bytes from 10.0.0.2: icmp_seq=517 ttl=64 time=5.19 ms
64 bytes from 10.0.0.2: icmp_seq=519 ttl=64 time=9.59 ms
64 bytes from 10.0.0.2: icmp_seq=522 ttl=64 time=8.88 ms
64 bytes from 10.0.0.2: icmp_seq=523 ttl=64 time=9.34 ms
64 bytes from 10.0.0.2: icmp_seq=524 ttl=64 time=9.92 ms
64 bytes from 10.0.0.2: icmp_seq=526 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=527 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=529 ttl=64 time=10.2 ms
64 bytes from 10.0.0.2: icmp_seq=530 ttl=64 time=7.76 ms
64 bytes from 10.0.0.2: icmp_seq=531 ttl=64 time=10.0 ms
64 bytes from 10.0.0.2: icmp_seq=533 ttl=64 time=7.26 ms
64 bytes from 10.0.0.2: icmp_seq=534 ttl=64 time=22.4 ms
64 bytes from 10.0.0.2: icmp_seq=535 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=536 ttl=64 time=9.89 ms
64 bytes from 10.0.0.2: icmp_seq=537 ttl=64 time=5.29 ms
64 bytes from 10.0.0.2: icmp_seq=538 ttl=64 time=17.9 ms
64 bytes from 10.0.0.2: icmp_seq=540 ttl=64 time=23.3 ms
64 bytes from 10.0.0.2: icmp_seq=541 ttl=64 time=18.0 ms
64 bytes from 10.0.0.2: icmp_seq=542 ttl=64 time=8.73 ms
64 bytes from 10.0.0.2: icmp_seq=543 ttl=64 time=22.9 ms
64 bytes from 10.0.0.2: icmp_seq=544 ttl=64 time=5.49 ms
64 bytes from 10.0.0.2: icmp_seq=545 ttl=64 time=8.04 ms
64 bytes from 10.0.0.2: icmp_seq=546 ttl=64 time=9.93 ms
64 bytes from 10.0.0.2: icmp_seq=547 ttl=64 time=8.44 ms
64 bytes from 10.0.0.2: icmp_seq=549 ttl=64 time=9.91 ms
64 bytes from 10.0.0.2: icmp_seq=551 ttl=64 time=10.3 ms
64 bytes from 10.0.0.2: icmp_seq=552 ttl=64 time=19.2 ms
64 bytes from 10.0.0.2: icmp_seq=553 ttl=64 time=9.18 ms
64 bytes from 10.0.0.2: icmp_seq=554 ttl=64 time=10.4 ms
64 bytes from 10.0.0.2: icmp_seq=555 ttl=64 time=11.3 ms
64 bytes from 10.0.0.2: icmp_seq=556 ttl=64 time=7.12 ms
64 bytes from 10.0.0.2: icmp_seq=557 ttl=64 time=8.96 ms
64 bytes from 10.0.0.2: icmp_seq=559 ttl=64 time=9.37 ms
64 bytes from 10.0.0.2: icmp_seq=560 ttl=64 time=18.8 ms
64 bytes from 10.0.0.2: icmp_seq=561 ttl=64 time=9.13 ms
64 bytes from 10.0.0.2: icmp_seq=563 ttl=64 time=16.2 ms
64 bytes from 10.0.0.2: icmp_seq=565 ttl=64 time=11.4 ms
64 bytes from 10.0.0.2: icmp_seq=567 ttl=64 time=9.03 ms
64 bytes from 10.0.0.2: icmp_seq=569 ttl=64 time=10.5 ms
64 bytes from 10.0.0.2: icmp_seq=570 ttl=64 time=8.37 ms
64 bytes from 10.0.0.2: icmp_seq=571 ttl=64 time=9.69 ms
64 bytes from 10.0.0.2: icmp_seq=572 ttl=64 time=11.3 ms
64 bytes from 10.0.0.2: icmp_seq=573 ttl=64 time=10.2 ms
64 bytes from 10.0.0.2: icmp_seq=574 ttl=64 time=3.70 ms
64 bytes from 10.0.0.2: icmp_seq=576 ttl=64 time=10.7 ms
64 bytes from 10.0.0.2: icmp_seq=579 ttl=64 time=12.7 ms
64 bytes from 10.0.0.2: icmp_seq=580 ttl=64 time=7.48 ms
64 bytes from 10.0.0.2: icmp_seq=582 ttl=64 time=8.66 ms
64 bytes from 10.0.0.2: icmp_seq=583 ttl=64 time=0.083 ms
64 bytes from 10.0.0.2: icmp_seq=584 ttl=64 time=0.082 ms
64 bytes from 10.0.0.2: icmp_seq=587 ttl=64 time=0.231 ms
64 bytes from 10.0.0.2: icmp_seq=588 ttl=64 time=3.17 ms
64 bytes from 10.0.0.2: icmp_seq=589 ttl=64 time=0.078 ms
64 bytes from 10.0.0.2: icmp_seq=590 ttl=64 time=0.074 ms
64 bytes from 10.0.0.2: icmp_seq=591 ttl=64 time=0.074 ms
64 bytes from 10.0.0.2: icmp_seq=592 ttl=64 time=0.061 ms
64 bytes from 10.0.0.2: icmp_seq=593 ttl=64 time=0.061 ms
64 bytes from 10.0.0.2: icmp_seq=594 ttl=64 time=0.325 ms
64 bytes from 10.0.0.2: icmp_seq=595 ttl=64 time=0.107 ms
64 bytes from 10.0.0.2: icmp_seq=596 ttl=64 time=0.061 ms
64 bytes from 10.0.0.2: icmp_seq=597 ttl=64 time=0.076 ms
64 bytes from 10.0.0.2: icmp_seq=598 ttl=64 time=0.058 ms
64 bytes from 10.0.0.2: icmp_seq=599 ttl=64 time=0.091 ms
64 bytes from 10.0.0.2: icmp_seq=600 ttl=64 time=0.073 ms
64 bytes from 10.0.0.2: icmp_seq=601 ttl=64 time=0.116 ms
64 bytes from 10.0.0.2: icmp_seq=602 ttl=64 time=0.077 ms
64 bytes from 10.0.0.2: icmp_seq=603 ttl=64 time=0.074 ms
64 bytes from 10.0.0.2: icmp_seq=604 ttl=64 time=0.063 ms
64 bytes from 10.0.0.2: icmp_seq=605 ttl=64 time=0.065 ms
64 bytes from 10.0.0.2: icmp_seq=606 ttl=64 time=0.082 ms
64 bytes from 10.0.0.2: icmp_seq=607 ttl=64 time=0.193 ms
64 bytes from 10.0.0.2: icmp_seq=608 ttl=64 time=0.060 ms
64 bytes from 10.0.0.2: icmp_seq=609 ttl=64 time=0.076 ms
64 bytes from 10.0.0.2: icmp_seq=610 ttl=64 time=0.059 ms
64 bytes from 10.0.0.2: icmp_seq=611 ttl=64 time=0.184 ms
64 bytes from 10.0.0.2: icmp_seq=612 ttl=64 time=0.054 ms
64 bytes from 10.0.0.2: icmp_seq=613 ttl=64 time=0.182 ms
64 bytes from 10.0.0.2: icmp_seq=614 ttl=64 time=0.077 ms
64 bytes from 10.0.0.2: icmp_seq=615 ttl=64 time=0.059 ms
64 bytes from 10.0.0.2: icmp_seq=616 ttl=64 time=0.073 ms
64 bytes from 10.0.0.2: icmp_seq=617 ttl=64 time=0.058 ms
64 bytes from 10.0.0.2: icmp_seq=618 ttl=64 time=0.120 ms
64 bytes from 10.0.0.2: icmp_seq=619 ttl=64 time=0.067 ms
64 bytes from 10.0.0.2: icmp_seq=620 ttl=64 time=0.058 ms
64 bytes from 10.0.0.2: icmp_seq=621 ttl=64 time=0.060 ms
64 bytes from 10.0.0.2: icmp_seq=622 ttl=64 time=0.093 ms
64 bytes from 10.0.0.2: icmp_seq=623 ttl=64 time=0.070 ms
64 bytes from 10.0.0.2: icmp_seq=624 ttl=64 time=0.063 ms
64 bytes from 10.0.0.2: icmp_seq=625 ttl=64 time=0.198 ms
64 bytes from 10.0.0.2: icmp_seq=626 ttl=64 time=0.060 ms
64 bytes from 10.0.0.2: icmp_seq=627 ttl=64 time=0.198 ms
64 bytes from 10.0.0.2: icmp_seq=628 ttl=64 time=0.068 ms
64 bytes from 10.0.0.2: icmp_seq=629 ttl=64 time=0.159 ms
64 bytes from 10.0.0.2: icmp_seq=630 ttl=64 time=0.070 ms
64 bytes from 10.0.0.2: icmp_seq=631 ttl=64 time=0.056 ms
64 bytes from 10.0.0.2: icmp_seq=632 ttl=64 time=0.074 ms
64 bytes from 10.0.0.2: icmp_seq=633 ttl=64 time=0.063 ms
64 bytes from 10.0.0.2: icmp_seq=634 ttl=64 time=0.091 ms
64 bytes from 10.0.0.2: icmp_seq=635 ttl=64 time=0.071 ms
64 bytes from 10.0.0.2: icmp_seq=636 ttl=64 time=0.069 ms
64 bytes from 10.0.0.2: icmp_seq=637 ttl=64 time=0.070 ms
64 bytes from 10.0.0.2: icmp_seq=638 ttl=64 time=0.039 ms
64 bytes from 10.0.0.2: icmp_seq=639 ttl=64 time=0.052 ms
64 bytes from 10.0.0.2: icmp_seq=640 ttl=64 time=0.075 ms
m 10.0.0.2: icmp_seq=640 ttl=64 time=0.079 ms
64 bytes from 10.0.0.2: icmp_seq=641 ttl=64 time=0.079 ms
64 bytes from 10.0.0.2: icmp_seq=642 ttl=64 time=0.044 ms
