PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=12.5 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=8.55 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=7.90 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=11.7 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=11.9 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=10.8 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=11.6 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=9.98 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=8.17 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=11.6 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=9.88 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=11.3 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=7.37 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=9.28 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=10.8 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=11.7 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=7.62 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=10.7 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=11.7 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=8.34 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=19.6 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=8.47 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=8.48 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=9.60 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=12.2 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=8.75 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=10.9 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=12.1 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=10.8 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=9.24 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=12.3 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=10.4 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=12.2 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=10.1 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=9.59 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=8.83 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=10.9 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=8.77 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=6.54 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=11.5 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=8.28 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=10.5 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=11.3 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=10.4 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=9.22 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=9.79 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=9.41 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=9.99 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=11.6 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=10.3 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=11.8 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=11.7 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=12.3 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=10.2 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=9.14 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=10.5 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=11.7 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=11.4 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=11.3 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=10.8 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=9.45 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=8.02 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=7.05 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=9.65 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=8.18 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=6.02 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=11.7 ms
